code,name,regn,oxalt,oxals,oxali,caconac,citac,fumac,malac,quinac,sucac,tarac
A001,"Amaranth seed, black (Amaranthus cruentus)",1,226,37.43,188,,8.64,0.15,45.78,75.53,1.47,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,209±49.7,32.30±1.46,177±49.8,0.14±0.02,7.93±0.45,0.14±0.02,47.16±1.64,75.06±0.57,1.89±0.13,
A003,Bajra (Pennisetum typhoideum),6,53.13±5.34,43.49±3.90,9.88±8.36,0.08±0.03,,1.99±0.59,0.86±0.21,,0.02±0.01,
A004,Barley (Hordeum vulgare),6,10.98±1.31,8.73±0.54,2.04±0.61,1.43±0.27,,,0.90±0.48,0.52±0.09,0.17±0.06,3.24±1.27
A005,Jowar (Sorghum vulgare),6,28.38±2.65,24.62±4.49,1.72±0.46,,,1.84±0.79,0.51±0.24,,3.88±1.22,
A006,"Maize, dry (Zea mays)",6,15.26±1.78,14.19±1.30,2.73±1.34,,,0.66±0.20,0.93±0.50,0.84±0.07,1.50±0.23,0.94±0.05
A007,"Maize, tender, local (Zea mays)",6,5.20±1.09,3.98±0.66,0.92±0.15,0.29±0.07,,0.46±0.19,0.73±0.48,1.83±0.58,1.22±0.10,4.35±0.72
A008,"Maize, tender, sweet (Zea mays)",4,1.67±0.15,1.45±0.08,0.34±0.12,0.26±0.01,,0.78±0.07,0.64±0.15,4.56±0.78,1.90±0.53,2.24±0.43
A009,Quinoa (Chenopodium quinoa),1,82.94,42.22,40.72,,,25.07,0.23,,2.07,
A010,Ragi (Eleusine coracana),5,39.58±6.47,31.16±3.05,8.58±1.55,,,0.20±0.06,0.75±0.35,,1.89±0.56,1.60±0.26
A011,Rice flakes (Oryza sativa ),6,10.97±0.60,8.52±0.48,2.45±0.40,,,1.28±0.10,0.48±0.23,,1.35±0.28,
A012,Rice puffed (Oryza sativa ),6,6.27±0.24,5.59±0.21,0.68±0.25,,,0.49±0.21,0.45±0.12,,1.30±0.28,
A013,"Rice, raw, brown (Oryza sativa )",6,12.06±1.05,9.30±0.83,1.96±0.44,,,1.72±0.60,0.50±0.29,,1.85±0.60,
A014,"Rice, parboiled, milled (Oryza sativa )",6,5.02±0.81,3.70±0.97,1.10±0.68,,,0.05±0.02,0.49±0.26,,1.61±0.36,
A015,"Rice, raw, milled (Oryza sativa )",6,1.92±0.37,1.58±0.37,0.35±0.08,,,0.07±0.06,0.48±0.34,,1.54±0.41,
A016,Samai (Panicum miliare),6,6.74±0.98,5.40±0.49,1.61±0.11,,,0.37±0.04,0.51±0.23,,2.35±0.69,6.07±2.18
A017,Varagu (Setaria italica),5,3.48±0.17,2.57±0.40,0.65±0.06,0.21±0.03,,0.26±0.09,0.45±0.24,,1.87±0.82,
A018,"Wheat flour, refined (Triticum aestivum)",6,20.22±0.77,11.02±0.64,9.20±0.57,,,1.07±0.07,0.02±0.01,5.57±1.78,1.05±0.06,1.07±0.04
A019,"Wheat flour, atta (Triticum aestivum)",6,52.38±10.71,26.20±1.99,24.18±1.35,,,1.50±0.13,0.02±0.01,6.49±1.98,1.15±0.12,1.41±0.18
A020,"Wheat, whole (Triticum aestivum)",6,52.46±3.32,25.55±7.62,26.96±7.58,,,1.61±0.39,0.03±0.03,6.16±2.71,1.48±0.58,1.72±0.59
A021,"Wheat, bulgur (Triticum aestivum)",6,40.23±1.94,25.27±2.11,14.96±0.69,,,1.57±0.27,0.02±0.01,6.42±2.91,1.54±0.42,1.43±0.13
A022,"Wheat, semolina (Triticum aestivum)",6,28.43±3.76,22.74±2.63,5.90±0.59,,,1.04±0.02,0.02±0.01,5.81±1.71,1.09±0.09,1.21±0.26
A023,"Wheat, vermicelli (Triticum aestivum)",6,23.84±2.34,18.86±1.94,5.57±0.78,4.20±0.70,,1.20±0.20,0.02±0.01,4.86±2.13,0.97±0.77,0.62±0.11
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,21.91±1.31,17.55±1.95,5.66±0.77,2.89±0.58,,1.05±0.03,0.02±0.01,4.13±1.90,0.83±0.38,0.64±0.27
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,6.49±1.18 ,5.29±0.51 ,1.20±0.66 ,,,55.58±1.22 ,0.52±0.14 ,,0.74±0.09,
B002,"Bengal gram, whole (Cicer arietinum)",6,7.14±1.36,5.57±0.58,1.70±0.08,,,81.17±6.44,0.71±0.19,,1.56±0.35,
B003,"Black gram, dal (Phaseolus mungo)",6,43.78±1.49,24.50±1.68,19.68±1.55,,,1.65±0.48,0.54±0.24,,0.79±0.22,
B004,"Black gram, whole (Phaseolus mungo)",6,56.25±2.42,34.17±1.70,22.09±2.32,,,18.01±1.27,0.60±0.16,,2.16±0.30,
B005,"Cowpea, brown (Vigna catjang)",6,14.34±1.86,10.83±1.05,2.55±0.78,0.02±0.01,,1.54±0.37,0.68±0.23,,5.38±3.28,
B006,"Cowpea, white (Vigna catjang)",1,17.23,1.29,15.94,0.02,,1.21,0.82,,1.35,
B007,"Field bean, black (Phaseolus vulgaris)",1,1.28,1.1,0.18,,,3.83,0.44,,6.84,
B008,"Field bean, brown (Phaseolus vulgaris)",1,1.26,1.1,0.16,,,2.24,0.52,,4.52,
B009,"Field bean, white (Phaseolus vulgaris)",5,1.23±0.05,0.97±0.07,0.31±0.08,,,3.12±0.73,0.89±0.44,,1.67±0.88,
B010,"Green gram, dal (Phaseolus aureus)",6,2.46±0.74,1.94±0.66,0.52±0.39,,,2.16±0.71,1.50±0.30,,1.33±0.26,
B011,"Green gram, whole (Phaseolus aureus)",6,12.29±0.30,10.57±0.27,1.72±0.12,,,5.98±0.84,1.84±0.13,,1.34±0.29,
B012,"Horse gram, whole (Dolicus biflorus)",6,181±9.1,144±7.7,38.36±3.08,,,37.04±2.71,0.37±0.12,,0.68±0.44,
B013,Lentil dal (Lens culinaris),6,10.46±1.00,8.42±1.07,2.04±0.42,,,2.77±0.94,0.18±0.07,21.37±4.24,0.70±0.20,0.12±0.11
B014,"Lentil whole, brown (Lens culinaris)",6,10.74±0.61,8.71±0.71,3.04±1.44,1.56±0.28,,0.04±0.01,0.50±0.14,25.17±1.15,1.57±0.44,10.13±0.01
B015,"Lentil whole, yellowish (Lens culinaris)",2,13.88,10.76,3.38,1.35,,0.1,0.68,23.29,1.31,12.95
B016,Moth bean (Vigna aconitifolia),6,36.11±6.26,28.72±1.91,10.15±0.37,,,2.25±0.33,0.71±0.28,,4.25±1.68,
B017,"Peas, dry (Pisum sativum)",6,8.89±1.04,6.75±0.73,2.35±0.64,2.98±0.68,,1.32±0.44,0.82±0.52,83.15±7.96,3.48±1.84,
B018,"Rajmah, black (Phaseolus vulgaris)",2,48.66,45.46,3.2,,,2.72,1.2,,3.71,
B019,"Rajmah, brown (Phaseolus vulgaris)",6,43.41±8.69,33.48±4.15,8.16±0.95,,,2.40±0.85,0.73±0.34,,3.48±2.08,
B020,"Rajmah, red (Phaseolus vulgaris)",3,41.44±8.25,38.84±7.80,2.60±0.44,,,2.19±0.62,0.67±0.47,,3.76±1.34,
B021,"Red gram, dal (Cajanus cajan)",6,1.41±0.11,1.20±0.13,0.22±0.08,,,0.48±0.18,0.56±0.23,3.28±1.69,0.55±0.22,2.02±0.57
B022,"Red gram, whole (Cajanus cajan)",6,1.65±0.11,1.33±0.15,0.32±0.16,,,4.13±0.51,1.53±0.42,4.03±1.62,1.55±0.27,2.20±0.52
B023,Ricebean (Vigna umbellata ),1,391,70.36,321,,,20.05,3.86,,0.4,
B024,"Soya bean, brown (Glycine max)",6,122±5.3,8.19±0.22,114±5.1,,,31.91±4.04,1.34±0.17,,0.82±0.25,
B025,"Soya bean, white (Glycine max)",1,119,8.18,111,,0.08,33.52,1.32,,0.89,
C001,Agathi leaves (Sesbania grandiflora),1,179,8.06,171,,2.46,7.26,7.59,,3.27,
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,779±232,198±29.7,582±203.6,,2.70±0.16,3.64±1.13,5.03±1.57,,3.78±1.44,
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,823,185,438,,2.79,2.99,4.52,,2.98,
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,676±157,188±6.5,489±159,,2.76±0.26,2.87±0.88,5.97±1.14,,2.39±1.48,
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1073±158,81.78±11.52,991±147,6.11±0.59,2.58±0.28,11.15±1.10,3.84±0.95,,,
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,1045,90.2,955,6.19,2.52,15.45,4.67,,3.39,
C007,Basella leaves (Basella alba),2,170,35.47,133,,8.18,0.33,1.4,,4.72,
C008,Bathua leaves (Chenopodium album),2,1077,228,850,3.08,8.64,0.46,5.53,,1.32,
C009,Beet greens (Beta vulgaris),6,127±21.6,34.98±5.06,92.38±19.84,,2.27±1.28,0.32±0.16,3.17±1.54,,62.38±17.90,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,493±113,151±7.5,342±116,,2.27±0.61,0.58±0.31,6.25±0.62,0.27±0.03,10.74±2.70,145±13.5
C011,"Betel leaves, small (Piper betle)",4,577±139,183±8.1,393±138,,1.65±0.31,0.27±0.14,5.39±0.40,0.32±0.04,12.62±2.15,51.07±9.78
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,12.4,4.67,7.73,,2.63,2.24,4.07,,11.56,
C013,"Cabbage, Chinese (Brassica rupa)",1,16.55,1.85,14.77,,67.54,0.41,5.65,88.3,85,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,9.42,0.8,8.62,0.03,45.82,0.81,0.55,58.3,89.66,2.98
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,2.88±0.67,0.53±0.40,2.35±0.42,0.04±0.03,64.87±12.68,0.82±0.44,0.22±0.09,90.09±3.28,90.00±6.27,2.04±0.94
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,2.7,0.26,2.45,0.02,61.73,0.78,0.62,37.25,88.78,2.43
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,172±25.8,10.10±1.36,162±25.5,,62.21±0.97,0.35±0.23,1.82±0.10,3.45±0.16,48.86±1.42,4.20±0.07
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,701±112,208±13.2,492±105,,19.37±1.49,3.95±1.20,56.27±5.95,,212±3.0,
C019,Drumstick leaves (Moringa oleifera),3,120±14.9,13.69±1.54,107±16.0,,19.22±2.39,,88.40±4.34,105±3.9,101±21.2,
C020,Fenugreek leaves (Trigonella foenum graecum),5,34.29±9.84,9.08±4.26,25.21±5.80,,32.26±11.71,8.41±1.41,130±1.8,189±1.8,16.47±2.19,
C021,Garden cress (Lepidium sativum),2,115,30.47,84.15,,7.13,5.64,85.23,,152,
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,177±13.2,33.01±3.67,144±14.4,7.51±0.90,3.99±1.24,11.56±1.04,40.77±5.23,102±0.8,25.25±1.54,
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,187,31.86,155,6.86,3.42,11.82,34.63,105,22.4,
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,2.92,1.88,1.04,,5.47,3.87,38.98,,26.96,
C025,Lettuce (Lactuca sativa),3,364±82.7,72.08±35.77,292±47.2,,9.24±0.60,1.99±0.15,63.28±2.19,12.74±1.73,60±3.3,
C026,Mustard leaves (Brassica juncea),3,1.69±0.04,1.49±0.09,0.20±0.05,,4.62±0.95,4.07±0.86,0.68±0.32,,22.73±0.64,
C027,Pak Choi leaves (Brassica rapa Chinensis),1,14.35,2.15,12.2,,35.85,1.01,1.82,4.75,79.88,3.14
C028,Parsley (Petroselinum crispum),3,128±8.1,11.50±1.06,116±7.5,113±0.6,1.36±0.29,0.83±0.12,113±0.6,,104±13.5,
C029,Ponnaganni (Alternanthera sessilis),2,465,165,299,,5.82,0.83,,,246,
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,13.61±1.91,5.06±1.41,8.55±0.96,30.67±1.03,7.74±2.63,14.35±1.44,30.67±1.03,20.22±1.26,54.07±0.72,
C031,Radish leaves (Raphanus sativus),6,53.83±15.04,23.46±3.89,30.37±13.72,6.04±0.69,3.15±1.60,1.66±0.37,6.04±0.69,22.96±0.89,139±3.2,
C032,Rumex leaves (Rumex patientia ),2,93.76,45.96,47.81,1.64,9.68,3.91,1.64,,2.58,4.06
C033,Spinach (Spinacia oleracea),6,592±36.7,241±18.8,351±30.8,15.79±2.95,67.34±14.43,5.44±0.79,15.79±2.95,254±7.9,1.64±0.25,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,150±13.9,72.63±14.02,77.44±22.84,,,6.46±4.33,,,195±7.0,44.76±19.99
D001 ,Ash gourd (Benincasa hispida) ,6,4.89±0.85 ,3.28±1.29 ,1.61±0.90 ,,36.91±1.03 ,0.57±0.04,,,,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,85.7,75.01,10.69,2.6,12.53,0.1,2.6,30.26,103,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,20.97±3.63,5.72±1.98,16.88±3.26,35.70±1.14,21.45±0.79,1.79±0.14,35.91±0.95,,174±1.0,
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,45.40±11.17,17.53±2.08,27.87±11.44,,59.33±1.55,1.41±0.22,,,7.49±1.41,
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,48.83±10.78,16.28±2.12,32.55±10.52,,66.42±2.46,1.51±0.47,,,7.44±0.71,
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,43.37,15.33,28.04,,65.68,1.42,,,9.15,
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,3.75±1.45,2.67±1.39,1.08±0.39,,31.16±1.71,0.16±0.02,,,64.96±1.83,
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.53±1.02,1.38±0.32,1.15±0.88,,31.12±2.36,0.14±0.02,,,65.18±2.07,
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,1.7,1.32,0.38,,33.41,0.12,,,64.8,
D010,Brinjal-1 (Solanum melongena),1,34,31.26,2.75,1.63,8.21,81.83,22.88,,,14.71
D011,Brinjal-2 (Solanum melongena),1,35.87,33.45,2.42,0.23,7.31,47.27,26.76,,,17.75
D012,Brinjal-3 (Solanum melongena),2,32.4,30.44,1.96,1.53,10.49,48.35,36.97,,,17.94
D013,Brinjal-4 (Solanum melongena),4,29.37±6.87,25.15±5.01,4.22±1.93,1.50±1.00,9.54±1.17,39.27±13.07,66.55±27.18,,,14.92±6.79
D014,Brinjal-5 (Solanum melongena),3,33.50±6.86,29.75±5.82,3.75±1.25,2.03±2.08,7.75±2.21,18.75±2.32,45.24±40.15,,,15.48±4.63
D015,Brinjal-6 (Solanum melongena),2,36.8,30.16,6.64,2.64,10.49,16.82,87.21,,,12.95
D016,Brinjal-7 (Solanum melongena),1,33.68,28.92,4.76,1.82,8.88,92.63,25.26,,,10.18
D017,Brinjal-8 (Solanum melongena),3,37.86±8.54,27.54±6.36,10.31±9.80,2.20±1.16,9.44±1.17,21.92±12.56,66.28±32.10,,,16.85±3.56
D018,Brinjal-9 (Solanum melongena),2,43.33,29.17,14.16,1.22,10.41,43.53,71.11,,,18.9
D019,Brinjal-10 (Solanum melongena),2,34.8,31.32,3.48,0.84,8.45,75.35,44.41,,,8.59
D020,Brinjal-11 (Solanum melongena),6,32.83±4.23,28.92±4.34,3.91±0.92,1.47±0.76,11.27±4.36,82.70±7.81,43.85±22.27,,,17.63±6.70
D021,Brinjal-12 (Solanum melongena),2,31.81,26.14,5.67,1.17,10.49,61.07,64.57,,,12.76
D022,Brinjal-13 (Solanum melongena),1,29.12,25.33,3.79,0.3,9.12,68.87,44.26,,,10.81
D023,Brinjal-14 (Solanum melongena),3,32.95±6.18,27.09±7.24,5.86±1.35,1.81±0.41,8.63±1.55,66.96±10.76,48.93±13.54,,,15.19±2.69
D024,Brinjal-15 (Solanum melongena),4,29.74±8.02,21.77±2.50,7.97±7.06,0.85±0.41,10.85±1.64,47.43±9.97,48.77±9.12,,,16.71±4.93
D025,Brinjal-16 (Solanum melongena),1,32.81,28.76,4.05,1.36,8.65,91.48,35.19,,,16.57
D026,Brinjal-17 (Solanum melongena),1,37.14,32.46,4.68,1.72,10.12,23.51,98.93,,,12.86
D027,Brinjal-18 (Solanum melongena),3,37.58±5.39,31.76±6.44,5.82±1.35,1.68±0.89,8.79±4.17,51.60±15.25,52.70±14.73,,,17.75±6.55
D028,Brinjal-19 (Solanum melongena),3,37.84±5.68,27.09±7.24,10.75±8.72,,9.02±3.11,47.69±15.14,23.76±11.67,,,15.11±4.10
D029,Brinjal-20 (Solanum melongena),5,35.39±5.77,28.44±5.50,6.94±3.13,2.99±1.50,9.29±1.60,63.90±41.84,22.64±6.12,,9.26±1.10,13.08±3.76
D030,Brinjal-21 (Solanum melongena),2,34.6,25.48,9.13,2.08,9.01,48.9,50.74,,,15.1
D031,Brinjal - all varieties (Solanum melongena),6,34.31±5.90,28.17±5.01,6.14±4.44,1.66±1.03,9.76±2.73,56.02±26.03,47.84±24.54,,9.26±1.10,15.52±5.06
D032,Broad beans (Vicia faba),3,20.25±1.21,5.81±2.00,13.00±1.34,,124±1.2,1.12±0.18,4.99±0.37,,,
D033,"Capsicum, green (Capsicum annuum)",6,19.12±1.47,6.83±1.34,2.29±1.07,,103±1.4,0.26±0.02,185±2.9,,250±6.3,
D034,"Capsicum, red (Capsicum annuum)",4,16.28±4.34,10.73±0.98,5.54±3.61,,33.39±9.88,0.41±0.11,116±8.2,5.10±2.99,151±40.3,
D035,"Capsicum, yellow (Capsicum annuum)",4,18.07±2.72,11.03±1.22,7.04±3.82,,56.43±17.52,1.03±0.32,115±10.1,,127±19.5,
D036,Cauliflower (Brassica oleracea),6,9.82±1.49,1.88±0.83,7.95±1.59,0.25±0.05,104±1.8,4.60±0.68,11.04±0.87,4.94±0.81,282±5.6,4.25±2.38
D037,Celery stalk (Apium graveolens),3,54.23±7.31,23.18±3.10,31.04±10.38,,158±3.4,,5.96±0.75,51.46±2.07,9.36±0.58,
D038,Cho-cho-marrow (Sechium edule),4,1.55±0.45,1.14±0.41,0.41±0.20,0.13±0.02,60.10±4.56,,,37.30±4.21,32.49±3.30,0.51±0.26
D039,Cluster beans (Cyamopsis tetragonobola),6,16.49±1.45,8.55±0.23,8.58±1.10,0.03±0.01,92.19±1.95,1.36±0.56,6.02±1.12,45.46±1.06,227±1.8,
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,250,177,73.74,,20.3,4.65,296,,62.6,
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,229±48.1,172±14.4,64.37±37.16,,24.01±1.37,0.15±0.02,156±2.8,,96.99±1.38,
D042,"Corn, Baby (Zea mays)",6,9.22±3.75,4.94±3.44,4.27±0.69,0.29±0.00,21.14±15.00,4.15±2.34,,5.57±2.27,60.48±19.84,4.38±1.77
D043,"Cucumber, green, elongate (Cucumis sativus)",6,12.13±1.56,2.28±0.05,9.84±1.58,,81.51±17.01,4.13±0.44,68.75±8.77,4.97±2.73,40.70±5.40,
D044,"Cucumber, green, short (Cucumis sativus)",6,10.49±1.31,2.27±0.05,8.22±1.31,,60.82±11.41,3.50±0.55,67.07±5.09,3.38±1.81,47.40±6.19,
D045,"Cucumber, orange, round (Cucumis sativus)",2,11.55,2.31,9.24,,37.31,4.4,64.48,5.7,50.82,
D046,Drumstick (Moringa oleifera),6,123±8.5,66.98±5.99,55.82±3.91,16.31±2.04,72.33±14.95,44.83±1.95,406±2.7,29.95±5.10,60.96±12.76,130±6.5
D047,"Field beans, tender, broad (Vicia faba)",2,34.83,8.82,26.02,16.2,52.58,5.26,59.82,,,
D048,"Field beans, tender, lean (Vicia faba)",6,35.12±6.94,8.81±0.16,26.31±6.94,12.43±2.69,58.47±7.11,4.45±0.91,54.81±2.50,,,
D049,"French beans, country (Phaseolus vulgaris)",5,36.01±7.98,4.02±0.04,31.99±7.99,14.40±0.61,92.41±12.43,13.53±1.34,67.01±0.85,,,
D050,"French beans, hybrid (Phaseolus vulgaris)",2,36.97,4.88,32.09,12.6,81.1,14.4,68.6,,,
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,9.60±1.48,7.24±1.39,2.37±0.33,4.81±0.55,35.40±1.54,7.80±1.06,82.78±0.99,450±30.9,,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,38.51±7.16,31.03±2.98,7.48±4.68,1.72±0.57,19.76±1.49,7.51±0.64,82.47±1.71,427±37.5,,
D053,Knol - Khol (Brassica oleracea),6,2.92±0.96,1.88±0.55,1.04±0.41,,14.19±1.86,5.90±1.29,5.57±2.23,248±40.5,6.42±0.67,
D054,"Kovai, big (Coccinia cordifolia)",6,7.72±1.93,4.76±0.26,2.96±1.79,5.38±0.53,22.68±2.00,0.56±0.18,46.41±4.22,90.46±2.46,254±1.3,
D055,"Kovai, small (Coccinia cordifolia)",1,8.15,5.01,3.14,5.63,25.89,0.41,51.63,92.82,239.14,
D056,Ladies finger (Abelmoschus esculentus),6,83.87±6.55,5.99±0.15,77.88±6.46,3.65±0.65,21.66±6.84,64.57±1.17,16.24±0.99,151±4.5,120±3.5,
D057,"Mango, green, raw (Mangifera indica)",6,7.51±1.45,3.92±0.04,3.60±1.47,0.47±0.29,32.73±1.32,1.38±0.37,84.39±1.25,,,85.92±3.20
D058,"Onion, stalk (Allium cepa)",6,29.72±6.15,22.72±7.76,7.00±2.16,,839±6.3,1.41±0.27,76.23±2.35,82.32±3.15,,
D059,"Papaya, raw (Carica papaya)",6,9.38±1.31,4.77±0.56,4.69±0.77,2.51±0.52,28.85±0.71,2.05±0.10,57.46±3.88,31.63±1.71,22.61±0.12,
D060,Parwar (Trichosanthes dioica),6,3.24±0.72,1.56±0.19,1.58±0.25,,28.36±10.14,3.26±0.70,1.61±0.31,3.29±0.96,31.10±1.95,3.13±0.64
D061,"Peas, fresh (Pisum sativum)",6,18.42±1.34,14.18±1.03,4.65±0.69,0.15±0.02,17.69±2.27,,0.84±0.83,160±3.9,2.39±0.99,
D062,"Plantain, flower (Musa x paradisiaca)",6,169±23.5,129±7.4,39.91±21.86,0.05±0.01,57.65±5.95,2.04±0.54,13.04±1.14,,,
D063,"Plantain, green (Musa x paradisiaca)",6,85.25±9.52,49.83±2.70,35.42±11.56,0.13±0.03,35.87±3.43,1.27±0.54,33.35±1.74,12.62±1.49,,
D064,"Plantain, stem (Musa x paradisiaca)",6,213±27.5,159±4.9,53.28±29.45,0.13±0.02,14.29±1.65,0.11±0.02,34.47±4.30,,,
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,57.33,49.61,7.72,1.13,159,1.13,13.51,37.98,,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,41.22±10.34,35.84±11.23,5.38±1.93,1.59±0.33,33.32±14.78,1.35±0.31,3.34±1.11,,4.56±1.56,
D067,"Red gram, tender, fresh (Cajanus cajan)",1,19.83,19.29,0.54,,,28.36,0.77,5.19,0.76,5.6
D068,Ridge gourd (Luffa acutangula),6,29.55±4.23,1.22±0.10,28.33±4.20,0.07±0.01,152±4.8,11.35±1.54,12.36±1.46,32.05±1.81,,
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,35.85±6.19,1.15±0.02,34.70±6.20,0.07±0.01,112±9.2,10.13±0.80,45.56±9.92,,,
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,24.22±5.03,3.88±0.66,20.34±4.78,2.53±0.74,110±8.3,1.67±0.47,54.35±1.86,,,
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,13.44,3.53,9.9,1.29,123,1.91,68.18,36.82,,
D072,"Snake gourd, short (Trichosanthes anguina)",1,14.25,3.4,10.85,1.82,126,1.89,63.86,33.48,,
